id,name,status,created_at,updated_at
1,OFICINA DE CENTRO DE ESTUDIOS FISCALES,5,NULL,NULL
2,"OFICINA NACIONAL DE INVESTIGACION, PROTECCION Y CUSTODIA",5,NULL,NULL
3,OFICINA DE POLÍTICAS PÚBLICAS Y GESTIÓN INTERNA,5,NULL,NULL
4,GERENCIA DE REMUNERACIONES Y BENEFICIOS ,5,NULL,NULL
5,OFICINA DE PLANIFICACION Y PRESUPUESTO ,5,NULL,NULL
6,OFICINA DE ALMACENAMIENTO Y DISPOSICION DE BIENES ADJUDICADOS,5,NULL,NULL
7,GERENCIA GENERAL DE GESTION HUMANA,5,NULL,NULL
9,DIRECCION DEL DESPACHO DE LA SUPERINTENDENCIA ,5,NULL,NULL
14,OFICINA DE  PREVENCION Y CONTROL DE LEGITIMACION DE CAPITALES,5,NULL,NULL
15,GERENCIA FINANCIERA ADMINISTRATIVA,5,NULL,NULL
16,GERENCIA GENERAL DE ADMINISTRACION,5,NULL,NULL
17,GERENCIA DE RECAUDACIÓN,5,NULL,NULL
19,SUPERINTENDENCIA NACIONAL ADUANERA Y TRIBUTARIA,5,NULL,NULL
20,OFICINA DE ESTADÍSTICAS Y ESTUDIOS ECONÓMICOS ADUANEROS Y TRIBUTARIOS/DESPACHO,5,NULL,NULL
21,GERENCIA  DE INFRAESTRUCTURA ,5,NULL,NULL
23,GERENCIA DE TRIBUTOS INTERNOS REGION GUAYANA,5,NULL,NULL
25,GERENCIA GENERAL DE SERVICIOS JURIDICOS-SENIAT,5,NULL,NULL
31,INTENDENCIA NACIONAL DE ADUANAS,5,NULL,NULL
33,OFICINA DE AUDITORIA INTERNA,5,NULL,NULL
34,OFICINA DE RELACIONES INSTITUCIONALES,5,NULL,NULL
40,GERNCIA DE NORMATIVA LEGAL,5,NULL,NULL
41,GERENCIA DE DESARROLLO DE CARRERA,5,NULL,NULL
42,GERENCIA DE SERVICIOS DE SALUD,5,NULL,NULL
47,GERENCIA ADUANA EL GUAMACHE,5,NULL,NULL
52,OFICINA DE INFORMACIÓN Y COMUNICACIÓN,5,NULL,NULL
53,GERENCIA DE REGIMENES ADUANEROS,5,NULL,NULL
54,OFICINA DE GESTION INTERNA,5,NULL,NULL
55,GERENCIA DE ARANCEL,5,NULL,NULL
56,GERENCIA DEL VALOR,5,NULL,NULL
57,GERENCIA GENERAL  TECNOLOGIA DE INFORMACION Y COMUNICACIONES,5,NULL,NULL
58,GERENCIA GENERAL DE CONTROL ADUANERO Y TRIBUTARIO,5,NULL,NULL
59,GERENCIA DE FISCALIZACION,5,NULL,NULL
60,INTENDENCIA NACIONAL DE TRIBUTOS INTERNOS ,5,NULL,NULL
62,OFICINA DE COORDINACION Y PLANIFICACION CON LA GUARDIA NACIONAL BOLIVARIANA,5,NULL,NULL
76,OFICINA DE INNOVACION Y DESARROLLO ADUANERO,5,NULL,NULL
305,EXTRAS,5,NULL,NULL
306,LEGITIMACIÓN DE CAPITALES,5,NULL,NULL
307,GERENCIA DE INFRAESTRUCTURA TECNOLÓGICA DE DATOS,5,NULL,NULL
308,DESPACHO DE LA SUPERINTENDENCIA,5,NULL,NULL
150,OFICINA DE POLÍTICAS PÚBLICAS Y GESTIÓN INTERNA ,5,NULL,NULL
