id,name,status,created_at,updated_at
5,LOGÍSTICA,5,NULL,NULL
6,SUPERINTENDENCIA,5,NULL,NULL
7,NO PROVISTO,5,NULL,NULL
8,TÉCNICO ADMINISTRATIVO,5,NULL,NULL
9,JEFE DE OFICINA,5,NULL,NULL
10,CONTRATADO,5,NULL,NULL
11,ASISTENTE ADMINISTRATIVO,5,NULL,NULL
12,CHOFER,5,NULL,NULL
13,GERENTE,5,NULL,NULL
14,AUDITOR ADUANERO Y TRIBUTARIO,5,NULL,NULL
15,JEFE DE DIVSION,5,NULL,NULL
16,COORDINADOR,5,NULL,NULL
17,ISLR PISO 4 MATA DE COCO,5,NULL,NULL
18,ATENCION CONTRIBUYENTE PISO 4 MATA DE COCO,5,NULL,NULL
19,COORDINADORA DE FACTURACIÓN ELECTRÓNICA,5,NULL,NULL
20,COORDINADOR DE GESTIÓN HUMANA,5,NULL,NULL
21,PROFESIONAL ADMINISTRATIVO,5,NULL,NULL
22,ANALISTA,5,NULL,NULL
23,GERENTE GENERAL,5,,
